kappa,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,mode_overlap,source_code
0.110002069558366,0.890000015817408,5.93821361221386e-15,74938363112000.2,3.6460896188409e-15,1.7946016955018e-13,1,1
0.110002430697526,0.89000003808763,8.3962442625397e-15,52999889608882.2,8.75465823177363e-15,2.08303025851924e-13,1,1
0.110002858234407,0.890000064452312,1.1901770276532e-14,37389398542132,1.91299697676515e-14,4.07688320419268e-13,1,1
0.110003364376649,0.890000095664222,1.68715432832409e-14,26375776084108.7,3.27527212528529e-14,6.58782701805094e-13,1,1
0.110003963576345,0.890000132614521,2.39505879273569e-14,18579922449376.3,5.43672055188522e-14,1.12665654401978e-12,1,1
0.110004672942698,0.890000176358199,3.40233972293479e-14,13079237360672.8,8.49423136055142e-14,1.75172321821976e-12,1,1
0.110005512730544,0.890000228144193,4.83765924315627e-14,9198665960229.19,1.30316173574531e-13,2.68105547956812e-12,1,1
0.1100065069187,0.890000289451042,6.8842036119099e-14,6464075872997.95,1.96258027144059e-13,4.03920495439046e-12,1,1
0.110007683894641,0.890000362029083,9.81141922672291e-14,4535533246836.66,2.90669758493366e-13,5.99639864098007e-12,1,1
0.110009077265057,0.890000447950503,1.39969210447562e-13,3179272231030.88,7.57500585028494e-14,1.55764086422352e-12,1,1
0.110010726815442,0.890000549668147,1.99918667051816e-13,2225906571889.74,1.06267145619923e-13,2.19465856204477e-12,1,1
0.110012679646105,0.890000670085965,2.85920463505272e-13,1556378055587.4,1.49506326773093e-13,3.07965857980981e-12,1,1
0.110014991517045,0.890000812641597,4.09451840655218e-13,1086819894639.37,2.11094457403101e-13,4.3581761675206e-12,1,1
0.110017728440087,0.890000981404514,5.87153451977665e-13,757894702319.122,2.98099888245404e-13,6.14970062004945e-12,1,1
0.110020968563752,0.890001181192098,8.43190407636059e-13,527758127424.193,4.20708651479928e-13,8.68381821814577e-12,1,1
0.110024804404658,0.890001417706953,1.2879199614335e-12,345518915910.095,3.23517515745803e-16,1.13090089800603e-13,1,1
0.110029345489191,0.890001697699825,1.85407615992037e-12,240012173431.444,2.53805072438397e-16,1.10478217862824e-13,1,1
0.110034721480854,0.890002029161616,2.67330333144159e-12,166461100521.967,7.83329736108956e-17,1.25975185386577e-13,1,1
0.110041085882607,0.890002421551381,3.86068388175023e-12,115264866123.654,7.03240301385056e-17,1.19715056317623e-13,1,1
0.1100486204199,0.890002886065745,5.58463484718606e-12,79683176288.0783,4.35972685714903e-17,1.1433114823043e-13,1,1
0.110057540229558,0.890003435957745,8.09196050695034e-12,54993065969.1989,2.4736028631852e-16,1.11791949905508e-13,1,1
0.110068100002673,0.890004086914055,1.17450176393298e-11,37888580257.8002,2.4417242388021e-16,1.43577145534796e-13,1,1
0.110080601256904,0.890004857501205,1.7076700599292e-11,26059040279.0719,1.74532378457086e-16,1.77649074151783e-13,1,1
0.110095400945841,0.890005769693367,2.48720447325515e-11,17891688827.026,7.41059468630676e-17,1.22274991212784e-13,1,1
0.110112921651252,0.890006849496485,3.62894388947031e-11,12262615193.3475,8.43789034800076e-17,9.99620108756165e-14,1,1
0.110133663649235,0.890008127686208,5.30409381618641e-11,8389822640.11041,8.36693023730928e-16,1.0991300869086e-13,1,1
0.110158219194817,0.890009640680142,7.7660786689293e-11,5730109612.72458,4.84341849542729e-16,1.00781081273953e-13,1,1
0.110187289432857,0.890011431568614,1.13905997733239e-10,3906780368.3743,5.70080849922255e-16,1.27634174264674e-13,1,1
0.110221704418137,0.890013551332294,1.67354209899547e-10,2659071295.14853,4.87901536829062e-16,1.48905818333292e-13,1,1
0.110262446816262,0.890016060280014,2.46297324455963e-10,1806791978.44706,6.6337390203975e-17,1.09211160266179e-13,1,1
0.110310679962127,0.890019029745759,3.63078082633947e-10,1225657885.06032,1.93525307511799e-16,1.27862170534151e-13,1,1
0.11036778107711,0.890022544090427,5.36091025617961e-10,830103939.032074,4.81976914890329e-16,1.15647324602526e-13,1,1
0.110435380593457,0.890026703061474,7.92779905397575e-10,561332784.169858,2.61828478042697e-16,1.16379748912082e-13,1,1
0.110515408708698,0.890031624572181,1.17413016013461e-09,379017444.058393,6.18031397708607e-16,1.05997583121614e-13,1,1
0.110610150499398,0.89003744797199,1.74140474047642e-09,255551574.910865,2.76006739789965e-16,1.06698729785291e-13,1,1
0.110722311167906,0.890044337890215,2.586245606117e-09,172072663.127021,2.89484697865794e-16,1.44809236351383e-13,1,1
0.110855093285147,0.890052488747368,3.84582262335399e-09,115716788.827242,4.35228343404773e-16,1.40433341187181e-13,1,1
0.111012288234976,0.890062130041185,5.72554741751778e-09,77727251.6613841,3.32832866438143e-16,1.31156456963349e-13,1,1
0.111198384471164,0.8900735325279,8.5331143335092e-09,52154084.5311668,5.81516524552126e-16,1.13559461538592e-13,1,1
0.111418695678116,0.890087015432689,1.2729479788994e-08,34961641.4098189,2.71973512724377e-16,9.5715826453434e-14,1,1
0.111679512494742,0.890102954835647,1.90051271850507e-08,23417442.7292388,3.39863451658986e-16,9.94521975068227e-14,1,1
0.111988282133726,0.890121793389492,2.83939944652754e-08,15674472.8973951,1.68780743623199e-15,1.49692847655999e-13,1,1
0.112353821024936,0.890144051530116,4.24433426367152e-08,10486262.3468316,1.86230586646806e-15,1.01626632353841e-13,1,1
0.112786566554668,0.890170340337611,6.34664237580322e-08,7012923.4296501,3.02179869935898e-15,1.38785982819165e-13,1,1
0.113298875088741,0.89020137618831,9.49171703067391e-08,4689359.0132928,3.63650709857851e-15,1.57937044103638e-13,1,1
0.113905374789031,0.890237997300419,1.41943743832229e-07,3135883.17901717,5.00703682248488e-15,1.50652830581155e-13,1,1
0.114623383297552,0.890281182206428,2.12202524017235e-07,2097715.81730602,8.65837006407508e-15,2.00153743261524e-13,1,1
0.115473402214398,0.890332070070282,3.17048240283699e-07,1404095.586958,1.51873154288135e-14,3.4153639673387e-13,1,1
0.116479702488589,0.890391982586282,4.73261870757468e-07,940696.935040622,2.94775601115033e-14,6.11720519765617e-13,1,1
0.117671017436725,0.890462446923283,7.05537733744991e-07,631052.31962344,6.12254668080787e-14,1.26040131373628e-12,1,1
0.119081363177507,0.890545218777216,1.050025475329e-06,424058.863190051,1.30461144155271e-13,2.65179855946331e-12,1,1
0.120751009908334,0.890642304023637,1.55930843289553e-06,285588.881979486,2.82198225557677e-13,5.72037468735556e-12,1,1
0.122727631757254,0.890755976668214,2.30928684290469e-06,192863.866047016,2.57728413019878e-13,5.20630694970468e-12,1,1
0.125067668042471,0.890888789720674,3.40849971812118e-06,130686.352265821,3.28347128642043e-16,9.38575651127123e-14,1,1
0.127837934808026,0.891043574216376,5.0104171187451e-06,88919.1012543429,1.70167101554078e-16,1.11469451923323e-13,1,1
0.131117532650512,0.891223419854659,7.32908908643529e-06,60800.4220813839,2.96028264199778e-16,1.05195440875349e-13,1,1
0.135000105311809,0.891431628648933,1.06581291379572e-05,41819.3295047555,3.09654610725502e-16,1.00028354158374e-13,1,1
0.140000105311809,0.891692372687752,1.58475883471478e-05,28133.3775573566,8.70022697994264e-16,1.12075187852444e-13,1,2
0.145000105311809,0.891944965719913,2.19983195106092e-05,20273.0250665228,9.41273390185751e-17,1.13229881900214e-13,0.999949678241547,2
0.150000105311809,0.892189597084853,2.90400344786289e-05,15361.3728961209,1.24854093664147e-16,1.06384683880122e-13,0.999950707679403,2
0.155000105311809,0.892426462967536,3.68957415288285e-05,12093.8952029225,4.71643007109698e-16,1.26352532202068e-13,0.999951590927691,2
0.160000105311808,0.892655764060185,4.54855540469654e-05,9812.51941153103,6.92577544494023e-16,9.95323133719691e-14,0.999952355029867,2
0.165000105311809,0.892877703610294,5.47292855066096e-05,8157.2205387412,5.10477942729511e-17,1.14647638383745e-13,0.999953020417181,2
0.170000105311809,0.893092485797627,6.45482224851301e-05,6918.0254034367,6.11437815886372e-16,8.70665448897119e-14,0.999953602905586,2
0.175000105311809,0.893300314390954,7.48663247006757e-05,5965.9687981377,1.49333515498909e-16,1.0284351650873e-13,0.999954114979593,2
0.180000105311809,0.893501391642452,8.56110177390208e-05,5218.3785173903,7.66418598445293e-16,9.94797530429017e-14,0.999954566654513,2
0.185000105311808,0.893695917383833,9.67136925175152e-05,4620.31742414334,1.21844024155632e-16,1.46401195532437e-13,0.999954966075783,2
0.190000105311808,0.89388408829357,0.000108109992041368,4134.14186521967,3.30891722198771e-16,1.3407995758711e-13,0.999955319947236,2
0.195000105311809,0.894066097309127,0.000119739943477922,3733.36612386984,8.69097027422387e-17,1.3037532146262e-13,0.999955633844185,2
0.200000105311809,0.89424213316196,0.000131547977977347,3398.92010090779,1.58690400510776e-15,1.09371995219651e-13,0.999955912446706,2
0.205000105311809,0.894412380016345,0.000143482869617555,3116.79151107149,1.29621263445656e-16,8.90260793734325e-14,0.999956159716322,2
0.210000105311809,0.894577017195889,0.000155497616873744,2876.4975154643,1.16579030430295e-15,1.13437024215627e-13,0.999956379031718,2
0.215000105311809,0.894736218983946,0.000167549284164826,2670.06876049603,1.0360056662304e-16,1.15268457412439e-13,0.999956573294268,2
0.220000105311809,0.894890154486202,0.000179598816687327,2491.35871547573,8.29276382943039e-16,1.00098670412303e-13,0.999956745011033,2
0.225000105311809,0.895038987545391,0.000191610838491159,2335.56461261112,4.30551655559435e-16,1.18384965598133e-13,0.999956896360664,2
0.230000105311809,0.895182876699593,0.0002035534412883,2198.88907560082,8.58241973574487e-16,1.14996287134658e-13,0.999957029246218,2
0.235000105311809,0.895321975176795,0.00021539796960984,2078.29715572187,3.75268209529901e-16,9.22697491322082e-14,0.999957145337844,2
0.240000105311809,0.895456430919476,0.000227118806490467,1971.33924036594,4.91536079062042e-16,9.36137676855419e-14,0.999957246107544,2
0.245000105311808,0.895586386633885,0.000238693162756436,1876.02019322972,1.2393566774787e-15,7.86933289358407e-14,0.999957332857685,2
0.250000105311808,0.895711979859454,0.000250100872141861,1790.70143216333,7.51188400171139e-16,1.31451778960094e-13,0.99995740674455,2
0.255000105311809,0.895833343054468,0.000261324193802927,1714.02679946665,2.79155168069922e-16,9.87411879982018e-14,0.999957468797919,2
0.260000105311809,0.89595060369468,0.000272347623292894,1644.86583885319,1.28229550669858e-15,1.04831610099011e-13,0.999957519937435,2
0.265000105311809,0.896063884382038,0.000283157712671695,1582.26995819283,4.56484296114777e-16,1.11409379870287e-13,0.999957560986377,2
0.270000105311809,0.896173302961141,0.000293742900124324,1525.43823626349,5.88335324300957e-16,1.07840001855418e-13,0.99995759268332,2
0.275000105311809,0.896278972641374,0.000304093349234536,1473.69052117958,3.22739334235216e-16,1.25319379558987e-13,0.999957615692032,2
0.280000105311809,0.896381002122994,0.000314200797887377,1426.44609458359,3.09974799989016e-16,7.25316484791558e-14,0.999957630609952,2
0.285000105311809,0.89647949572572,0.000324058416645009,1383.20662213778,6.86984684639057e-17,1.0126654979014e-13,0.999957637975466,2
0.290000105311809,0.896574553518579,0.000333660676345436,1343.54243259755,7.94242326816471e-16,1.25562679202737e-13,0.99995763827418,2
0.295000105311809,0.896666271449992,0.000343003224605428,1307.08140205018,3.57533290702004e-16,1.05665470312905e-13,0.999957631944372,2
0.300000105311809,0.896754741477231,0.00035208277086191,1273.49989220141,1.65585916438654e-16,1.1040975963757e-13,0.999957619381727,2
0.305000105311809,0.896840051694529,0.000360896979555516,1242.51531946746,5.08943871977535e-16,8.52198122024245e-14,0.99995760094348,2
0.310000105311809,0.896922286459256,0.000369444371042018,1213.8800273631,6.74047627539369e-18,7.64903910851056e-14,0.999957576952055,2
0.315000105311809,0.897001526515681,0.00037772422980919,1187.37620693384,1.2463065170021e-15,8.89054899357583e-14,0.999957547698269,2
0.320000105311808,0.897077849115918,0.000385736519576847,1162.81166494167,2.49811772423009e-16,1.13113543343874e-13,0.999957513444157,2
0.325000105311808,0.897151328137762,0.000393481804862644,1140.01628163078,3.60156962673927e-16,7.41661629614688e-14,0.999957474425487,2
0.330000105311808,0.897222034199147,0.000400961178606106,1118.8390323949,9.52110862497422e-16,1.11760548359562e-13,0.999957430853996,2
0.335000105311808,0.897290034769066,0.000408176195456568,1099.14547290711,6.60332776182051e-16,9.32657070847436e-14,0.999957382919373,2
0.340000105311808,0.897355394274787,0.000415128810345335,1080.81560700196,1.3305253424015e-15,1.1507731599074e-13,0.999957330791049,2
0.345000105311808,0.897418174205292,0.000421821321979427,1063.74207211017,6.10024566972828e-16,1.08261437561731e-13,0.999957274619789,2
0.350000105311808,0.897478433210856,0.000428256320911716,1047.8285893133,6.62718931547709e-16,7.46274345889112e-14,0.999957214539129,2
0.355000105311808,0.897536227198751,0.000434436641860352,1032.98863483903,7.11527600105142e-16,8.79462074867326e-14,0.99995715066667,2
0.360000105311808,0.897591609425053,0.000440365319968625,1019.14429761295,6.47469684684783e-16,9.37202488743839e-14,0.999957083105239,2
0.365000105311808,0.897644630582565,0.00044604555071481,1006.22529374415,1.41696444037342e-16,9.7674268645423e-14,0.999957011943945,2
0.370000105311808,0.897695338884894,0.000451480653198871,994.168113876488,1.12556583046767e-16,8.30650666641063e-14,0.999956937259129,2
0.375000105311808,0.897743780146705,0.000456674036550823,982.915283434113,1.17855399796247e-15,1.16479361551301e-13,0.999956859115232,2
0.380000105311809,0.897789997860227,0.000461629169221949,972.414719127696,2.14012490943624e-16,1.00466833773383e-13,0.99995677756557,2
0.385000105311809,0.897834033268012,0.000466349550941463,962.619167806071,2.72897837968768e-13,3.8802892469988e-12,0.999956692653048,2
0.390000105311809,0.897875925432241,0.000470838687100064,953.485716055255,2.31819741194283e-13,3.28380371514152e-12,0.999956604410802,2
