theta_deg,frequency_hz,rayleigh_frequency_hz,eta_0,eta_m1,eta_p1,eta_total,kn_m1_real,kn_m1_imag,large_groove_probe_abs_pa
8.1,179400,177190.039394107,0.999995669779882,4.33022011844689e-06,3.90562518966239e-31,1,125.545109812128,0,8879.47749535817
8.15,179400,177055.970370652,0.999995586924728,4.41307527548444e-06,3.82305622388037e-32,1,129.317996076503,0,8879.73640554857
8.2,179400,176922.120794035,0.999995508801408,4.49119858608094e-06,2.88425839375589e-32,0.999999999999994,132.980264318432,0,8879.9664901621
6.2,179420,182451.671285486,1.00000000000001,-6.40572182877679e-25,-2.17959448030102e-31,1.00000000000001,0,-146.107697138108,8841.62675150602
6.25,179420,182308.930689984,1,-1.39950967560758e-26,7.30678793084827e-32,1,0,-142.651787080328,8844.51238503713
6.3,179420,182166.426874784,0.999999999999987,2.62645269206187e-25,-1.90021729470975e-32,0.999999999999987,0,-139.113446408625,8847.21785047938
6.35,179420,182024.15936143,1,-2.52208247896572e-25,-2.27234318159043e-31,1,0,-135.486218933785,8849.75517248553
6.4,179420,181882.127672714,0.999999999999997,8.9455946849748e-26,2.33172497205011e-31,0.999999999999997,0,-131.762766049395,8852.13521117433
6.45,179420,181740.331332678,1.00000000000002,6.55990509812338e-25,2.94873005196926e-31,1.00000000000002,0,-127.934688294458,8854.36778150486
6.5,179420,181598.769866607,0.999999999999998,3.48661743124357e-25,-4.90940719940598e-31,0.999999999999998,0,-123.992297678714,8856.46175386921
6.55,179420,181457.442801026,1,8.72291846328383e-25,1.80237872566667e-31,1,0,-119.924323074704,8858.42513767152
6.6,179420,181316.349663693,1.00000000000001,-1.22445236364176e-24,1.51451842715261e-31,1.00000000000001,0,-115.717522934941,8860.2651488765
6.65,179420,181175.489983601,1.00000000000002,-9.80842798074139e-26,-7.64385028431465e-31,1.00000000000002,0,-111.356167005647,8861.98826162779
6.7,179420,181034.863290971,1,-8.03769243355312e-25,-1.31997237078946e-31,1,0,-106.821328436724,8863.60024289042
6.75,179420,180894.469117247,1,1.3691474317978e-24,4.24155646140573e-32,1,0,-102.089893936876,8865.10616735799
6.8,179420,180754.306995095,1,-8.19543377834614e-25,-4.66147055108489e-31,1,0,-97.1331412349819,8866.51040715216
6.85,179420,180614.376458396,0.999999999999995,2.25344778275799e-24,-4.67101405312308e-32,0.999999999999995,0,-91.9146274733566,8867.81658607498
6.9,179420,180474.677042247,1.00000000000002,1.81936257828987e-25,-3.21792750205315e-31,1.00000000000002,0,-86.3869306189497,8869.02747925926
6.95,179420,180335.20828295,1.00000000000001,2.39885446600332e-24,4.31168352823431e-31,1.00000000000001,0,-80.4863760128405,8870.14482095901
7,179420,180195.969718017,1,2.61595636949482e-24,-1.36860888488025e-32,1,0,-74.123977561904,8871.16894354717
7.05,179420,180056.96088616,0.999999999999993,5.68817661374069e-24,-1.17632499196319e-32,0.999999999999993,0,-67.1686253928289,8872.09807388297
7.1,179420,179918.181327289,0.999999999999999,1.94081155352904e-24,1.20347095331619e-31,0.999999999999999,0,-59.4124377667469,8872.92684310258
7.15,179420,179779.630582509,1.00000000000001,-1.01523752738993e-25,4.1046955729177e-31,1.00000000000001,0,-50.487672699941,8873.64265644815
7.2,179420,179641.308194116,0.999999999999976,-5.29821154480867e-24,3.07537585864607e-31,0.999999999999976,0,-39.6122040123836,8874.21446173413
7.25,179420,179503.213705592,0.999999999999987,3.88826484789146e-24,-5.74646069391248e-31,0.999999999999987,0,-24.2940952639396,8874.53512725304
7.3,179420,179365.346661604,0.999999246919702,7.53080293626414e-07,-5.47839432555164e-31,0.999999999999996,19.6917588582435,0,8874.22681351275
7.35,179420,179227.706607998,0.99999860813197,1.39186802887561e-06,2.24010735248375e-31,0.999999999999999,36.9429035986232,0,8874.98547514332
7.4,179420,179090.293091797,0.999998203384111,1.79661589984863e-06,-6.47968442087414e-32,1.00000000000001,48.3821739298336,0,8875.74240061257
7.45,179420,178953.105661197,0.999997891555041,2.10844496428381e-06,2.66256637603975e-31,1,57.5841540180136,0,8876.46677398658
7.5,179420,178816.143865561,0.999997634286381,2.36571361423182e-06,1.30763651074754e-31,0.999999999999995,65.4986854196942,0,8877.15211405101
7.55,179420,178679.40725542,0.99999741415271,2.58584729515842e-06,-4.4929393743517e-31,1,72.5483514357687,0,8877.79669974634
