theta_deg,intrinsic_linewidth_hz,angular_bandwidth_w25_hz,angular_bandwidth_w100_hz,angular_bandwidth_w200_hz
7.74,0.5257874192025023,1246.824222661755,329.96394683939747,164.89128113146353
7.76,0.5687368323443934,1245.803471961612,329.37805397029854,164.58861601089706
7.779999999999999,0.6123577642538334,1244.7727087646067,328.7917908221598,164.28605690173194
7.8,0.6559786961632752,1243.7320119485003,328.2051907173142,163.98361666270458
7.82,0.699599628072717,1242.68146030504,327.61828639002977,163.6813074391371
7.84,0.743220559982157,1241.621132534095,327.0311099812499,163.37914071163607
7.859999999999999,0.7868414918915969,1240.5511072378808,326.4436930340578,163.07712734219518
7.88,0.83584324156291,1239.4714629152247,325.856066489864,162.77527761751242
7.9,0.8898195713658442,1238.38227795591,325.2682606853141,162.4736012894125
7.92,0.9437959011687761,1237.2836306350798,324.6803053499129,162.1721076123364
7.9399999999999995,0.9977722309717079,1236.1755991077134,324.09222960436097,161.87080537792644
7.96,1.0517485607746422,1235.0582614031414,323.5040619595898,161.5697029467868
7.98,1.1057248905775763,1233.9316954196581,322.9158303164948,161.26880827754462
8.0,1.1608106602750812,1232.795978919184,322.32756196634136,160.9681289533656
8.02,1.2253315757587588,1231.6511895219714,321.73928359184265,160.66767220611132
8.04,1.2898524912424365,1230.4974047014077,321.15102126888627,160.3674449383334
8.06,1.3543734067261197,1229.3347017788617,320.56280046889134,160.06745374330987
8.08,1.4188943222097974,1228.163157918598,319.97464606178613,159.76770492333367
8.1,1.483415237693475,1226.9828501227537,319.38658231957714,159.4682045064535
8.12,1.5479361531771525,1225.793855226379,318.7986329204914,159.16895826185953
8.14,1.619788946785244,1224.5962498925405,318.2108209536735,158.8699717140948
8.16,1.694938843949279,1223.3901106074916,317.6231689244092,158.57125015625337
8.18,1.7700887411133142,1222.1755136758945,317.03569875985596,158.27279866231075
8.2,1.8452386382773491,1220.952535216118,316.44843181524686,157.97462209871247
8.219999999999999,1.920388535441384,1219.7212511555877,315.8613888805592,157.67672513532528
8.24,1.995538432605426,1218.4817372262055,315.2745901876018,157.3791122558412
8.26,2.0735936600626874,1217.2340689598266,314.6880554175091,157.08178776770012
8.28,2.1593735291947627,1215.978321683801,314.1018037086103,156.78475581158503
8.3,2.2451533983268455,1214.7145705165751,313.5158536646466,156.48802037053034
8.32,2.3309332674589203,1213.4428903633604,312.9302233633092,156.19158527866233
8.34,2.4167131365909955,1212.163355911854,312.34493036507473,155.89545422959148
8.36,2.5024930057230708,1210.8760416280275,311.75999172230485,155.59963078446037
8.379999999999999,2.588272874855146,1209.5810217519859,311.1754239885922,155.30411837964465
8.4,2.683092114825667,1208.2783702938566,310.5912432283184,155.00892033410346
8.42,2.779435717859275,1206.9681610297907,310.00746502640015,154.71403985637025
8.44,2.875779320892883,1205.650467497967,309.4241044982055,154.41948005117393
8.46,2.9721229239264995,1204.3253629947046,308.84117629960366,154.1252439256824
8.48,3.068466526960108,1202.992920570604,308.2586946371317,153.83133439536022
8.5,3.164810129993716,1201.6532130267738,307.67667327825353,153.537754289434
