system,state,frequency_hz,kx_over_k0,normalized_power_db
ideal_infinite,1,178780.3005,-0.5541666666666667,-60.0
ideal_infinite,1,178780.3005,-0.5520833333333334,-60.0
ideal_infinite,1,178780.3005,-0.55,-60.0
ideal_infinite,1,178780.3005,-0.5479166666666667,-60.0
ideal_infinite,1,178780.3005,-0.5458333333333334,-60.0
ideal_infinite,1,178780.3005,-0.54375,-60.0
ideal_infinite,1,178780.3005,-0.5416666666666666,-60.0
ideal_infinite,1,178780.3005,-0.5395833333333333,-60.0
ideal_infinite,1,178780.3005,-0.5375,-60.0
ideal_infinite,1,178780.3005,-0.5354166666666667,-60.0
ideal_infinite,1,178780.3005,-0.5333333333333333,-60.0
ideal_infinite,1,178780.3005,-0.53125,-60.0
ideal_infinite,1,178780.3005,-0.5291666666666667,-60.0
ideal_infinite,1,178780.3005,-0.5270833333333333,-60.0
ideal_infinite,1,178780.3005,-0.525,-60.0
ideal_infinite,1,178780.3005,-0.5229166666666667,-60.0
ideal_infinite,1,178780.3005,-0.5208333333333334,-60.0
ideal_infinite,1,178780.3005,-0.51875,-60.0
ideal_infinite,1,178780.3005,-0.5166666666666667,-60.0
ideal_infinite,1,178780.3005,-0.5145833333333334,-60.0
ideal_infinite,1,178780.3005,-0.5125,-60.0
ideal_infinite,1,178780.3005,-0.5104166666666666,-60.0
ideal_infinite,1,178780.3005,-0.5083333333333333,-60.0
ideal_infinite,1,178780.3005,-0.50625,-60.0
ideal_infinite,1,178780.3005,-0.5041666666666667,-60.0
ideal_infinite,1,178780.3005,-0.5020833333333333,-60.0
ideal_infinite,1,178780.3005,-0.5,-60.0
ideal_infinite,1,178780.3005,-0.4979166666666667,-60.0
ideal_infinite,1,178780.3005,-0.49583333333333335,-60.0
ideal_infinite,1,178780.3005,-0.49375,-60.0
ideal_infinite,1,178780.3005,-0.4916666666666667,-60.0
ideal_infinite,1,178780.3005,-0.48958333333333337,-60.0
ideal_infinite,1,178780.3005,-0.48750000000000004,-60.0
ideal_infinite,1,178780.3005,-0.4854166666666667,-60.0
ideal_infinite,1,178780.3005,-0.4833333333333334,-60.0
ideal_infinite,1,178780.3005,-0.48124999999999996,-60.0
ideal_infinite,1,178780.3005,-0.47916666666666663,-60.0
ideal_infinite,1,178780.3005,-0.4770833333333333,-60.0
ideal_infinite,1,178780.3005,-0.475,-60.0
ideal_infinite,1,178780.3005,-0.47291666666666665,-60.0
ideal_infinite,1,178780.3005,-0.4708333333333333,-60.0
ideal_infinite,1,178780.3005,-0.46875,-60.0
ideal_infinite,1,178780.3005,-0.4666666666666667,-60.0
ideal_infinite,1,178780.3005,-0.46458333333333335,-60.0
ideal_infinite,1,178780.3005,-0.4625,-60.0
ideal_infinite,1,178780.3005,-0.4604166666666667,-60.0
ideal_infinite,1,178780.3005,-0.45833333333333337,-60.0
ideal_infinite,1,178780.3005,-0.45625000000000004,-60.0
ideal_infinite,1,178780.3005,-0.4541666666666667,-60.0
ideal_infinite,1,178780.3005,-0.4520833333333334,-60.0
ideal_infinite,1,178780.3005,-0.44999999999999996,-60.0
ideal_infinite,1,178780.3005,-0.44791666666666663,-60.0
ideal_infinite,1,178780.3005,-0.4458333333333333,-60.0
ideal_infinite,1,178780.3005,-0.44375,-60.0
ideal_infinite,1,178780.3005,-0.44166666666666665,-60.0
ideal_infinite,1,178780.3005,-0.4395833333333333,-60.0
ideal_infinite,1,178780.3005,-0.4375,-60.0
ideal_infinite,1,178780.3005,-0.4354166666666667,-60.0
ideal_infinite,1,178780.3005,-0.43333333333333335,-60.0
ideal_infinite,1,178780.3005,-0.43125,-60.0
ideal_infinite,1,178780.3005,-0.4291666666666667,-60.0
ideal_infinite,1,178780.3005,-0.42708333333333337,-60.0
ideal_infinite,1,178780.3005,-0.42500000000000004,-60.0
ideal_infinite,1,178780.3005,-0.4229166666666667,-60.0
ideal_infinite,1,178780.3005,-0.4208333333333334,-60.0
ideal_infinite,1,178780.3005,-0.41875000000000007,-60.0
ideal_infinite,1,178780.3005,-0.41666666666666663,-60.0
ideal_infinite,1,178780.3005,-0.4145833333333333,-60.0
ideal_infinite,1,178780.3005,-0.4125,-60.0
ideal_infinite,1,178780.3005,-0.41041666666666665,-60.0
ideal_infinite,1,178780.3005,-0.4083333333333333,-60.0
ideal_infinite,1,178780.3005,-0.40625,-60.0
ideal_infinite,1,178780.3005,-0.4041666666666667,-60.0
ideal_infinite,1,178780.3005,-0.40208333333333335,-60.0
ideal_infinite,1,178780.3005,-0.4,-60.0
ideal_infinite,1,178780.3005,-0.3979166666666667,-60.0
ideal_infinite,1,178780.3005,-0.39583333333333337,-60.0
ideal_infinite,1,178780.3005,-0.39375000000000004,-60.0
ideal_infinite,1,178780.3005,-0.3916666666666667,-60.0
ideal_infinite,1,178780.3005,-0.3895833333333334,-60.0
ideal_infinite,1,178780.3005,-0.38750000000000007,-60.0
ideal_infinite,1,178780.3005,-0.38541666666666663,-60.0
ideal_infinite,1,178780.3005,-0.3833333333333333,-60.0
ideal_infinite,1,178780.3005,-0.38125,-60.0
ideal_infinite,1,178780.3005,-0.37916666666666665,-60.0
ideal_infinite,1,178780.3005,-0.3770833333333333,-60.0
ideal_infinite,1,178780.3005,-0.375,-59.823232515607785
ideal_infinite,1,178780.3005,-0.3729166666666667,-59.297803519007644
