kappa,theta_deg,pole_frequency_hz,rayleigh_frequency_hz,linewidth_hz,normalized_detuning,frequency_hz,A0_real,A0_imag,Am1_real,Am1_imag,eta0,etam1,condition_number,energy_error
0.123852883089586,7.99186119682162,180165.880127822,177560.540923704,1.136226818958,-32,180147.700498719,0.169177466212813,-0.985306139976645,-0.0517813002827757,-0.0186196080319734,0.999449204549864,0.000550795450136492,123570.92401758,6.66133814775094e-16
0.124240846052549,8.01686042440343,180170.3294377,177493.212609167,1.21092282781397,-32,180150.954672455,0.169075808302992,-0.985326100091837,-0.0511456360992843,-0.0185586175392183,0.999454152475498,0.000545847524501711,115832.445589588,1.11022302462516e-16
0.124628809015512,8.04186042785136,180174.768190351,177425.937380657,1.28819589696397,-32,180154.157056,0.168973420608693,-0.985346121890078,-0.0505302728516247,-0.0184986831191933,0.999458996796019,0.000541003203980601,108775.537337204,2.22044604925031e-16
0.125016771978475,8.06686121593268,180179.196398804,177358.715165124,1.36805124902926,-32,180157.30757882,0.168870454302672,-0.985366181902205,-0.0499340122773635,-0.0184397286639572,0.99946374277292,0.000536257227078607,102324.198428045,1.55431223447522e-15
0.125404734941438,8.09186279740233,180183.614076246,177291.545889685,1.45049322497291,-32,180160.406184647,0.168767047133563,-0.985386258791155,-0.0493557582595037,-0.0183816860437367,0.999468395212611,0.000531604787392039,96412.5817940792,2.88657986402541e-15
0.125792697904401,8.11686518100295,180188.021236023,177224.429481631,1.535525322247,-32,180163.452830867,0.168663324854801,-0.985406333125946,-0.0487945057842217,-0.0183244941635454,0.9994729585158,0.000527041484197641,90983.4248699311,2.55351295663786e-15
0.126180660867364,8.14186837546494,180192.417891634,177157.365868419,1.6231502308145,-32,180166.447487941,0.168559402470285,-0.985426387184562,-0.0482493313228655,-0.0182680981458513,0.999477436720759,0.000522563279244505,85986.7541262111,3.10862446895044e-15
0.126568623830327,8.1668723895065,180196.804056727,177090.354977678,1.71336986725623,-32,180169.390138851,0.168455385323589,-0.985446404781389,-0.0477193844286313,-0.018212448620935,0.999481833541084,0.000518166458915786,81378.8104232065,2.22044604925031e-16
0.12695658679329,8.19187723183364,180201.179745102,177023.396737202,1.80618540709768,-32,180172.280778589,0.168351370053003,-0.985466371115832,-0.0472038803739508,-0.0181575011101332,0.99948615239893,0.000513847601071908,77121.1534430792,2.22044604925031e-15
0.127344549756253,8.21688291114024,180205.544970702,176956.491074958,1.90159731550162,-32,180175.119413654,0.16824744543259,-0.985486272638854,-0.0467020936734339,-0.0181032154861052,0.999490396454215,0.000509603545783283,73179.9120568559,1.66533453693773e-15
0.127732512719216,8.24188943610809,180209.899747614,176889.637919075,1.99960537637069,-32,180177.906061592,0.168143693114141,-0.985506096935161,-0.0462133523750451,-0.0180495555012721,0.999494568630437,0.000505431369559982,69525.1542314968,3.21964677141295e-15
0.128120475682179,8.26689681540691,180214.244090064,176822.837197854,2.10020872009915,-32,180180.640750542,0.168040188284687,-0.9855258326187,-0.0457370330076544,-0.0179964883725378,0.999498671637535,0.000501328362464519,66130.3552857167,3.33066907387547e-16
0.128508438645142,8.29190505769442,180218.578012417,176756.08883976,2.20340584992701,-32,180183.323518818,0.167937000249461,-0.985545469239907,-0.0452725561050401,-0.017943984417274,0.999502707992096,0.000497292007901992,62971.9474416985,1.88737914186277e-15
0.128896401608105,8.31691417161638,180222.901529173,176689.392773424,2.30919466710129,-32,180185.954414499,0.167834192951745,-0.985564997202971,-0.0448193822216408,-0.0178920167305023,0.999506680035455,0.000493319964546913,60028.9368366565,2.22044604925031e-15
0.129284364571068,8.34192416580657,180227.214654963,176622.748927644,2.41757249485472,-32,180188.533495045,0.167731825436025,-0.985584407691991,-0.0443770083854356,-0.0178405609008166,0.999510589949673,0.000489410050323514,57282.5767702487,3.33066907387547e-15
0.129672327534031,8.36693504888693,180231.51740455,176556.157231381,2.52853610131488,-32,180191.060826929,0.167629952262889,-0.98560369260484,-0.0439449649264082,-0.0177895947577221,0.999514439771954,0.000485560228045193,54716.0879816966,5.55111512312578e-16
0.130060290496994,8.39194682946752,180235.809792823,176489.617613762,2.64208172136158,-32,180193.536485281,0.16752862388086,-0.985622844493773,-0.043522812637712,-0.0177390981476767,0.999518231407411,0.000481768592588709,52314.4184310721,0
0.130448253459957,8.41695951614665,180240.091834797,176423.130004078,2.75820507758426,-32,180195.960553555,0.167427886960807,-0.985641856512021,-0.0431101402272159,-0.0176890527344766,0.999521966640624,0.00047803335937652,50064.0363630618,0
0.13083621642292,8.44197311751079,180244.363545608,176356.694331783,2.87690140027803,-32,180198.333123203,0.16732778469684,-0.985660722365654,-0.0427065620272274,-0.0176394418218687,0.999525647145936,0.000474352854065581,47952.7515208527,1.55431223447522e-15
0.131224179385883,8.46698764213475,180248.624940514,176290.310526494,2.99816544665085,-32,180200.654293367,0.167228357078443,-0.985679436270042,-0.0423117159283033,-0.0175902501942833,0.999529274496783,0.000470725503217801,45969.5602339886,4.44089209850063e-16
0.131612142348846,8.49200309858167,180252.87603489,176223.978517991,3.12199151918829,-32,180202.924170582,0.167129641136216,-0.985697992910477,-0.0419252615157109,-0.017541463975041,0.999532850174064,0.000467149825934197,44104.510834193,1.99840144432528e-15
0.132000105311809,8.51701949540308,180257.116844225,176157.698236215,3.24837348328725,-32,180205.142868493,0.167031671164816,-0.985716387406444,-0.0415468783826405,-0.0174930704989407,0.999536375573722,0.000463624426279016,42348.5864161592,8.88178419700125e-16
0.110000105311808,7.09966291282572,180000,180000,0,-29,180000,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000205311808,7.09966935084983,180000.001247205,179999.982137195,8.67855406862368e-12,-29,180000.001247205,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000226464574,7.09967071267001,180000.001511023,179999.978358718,8.32109403094942e-12,-29,180000.001511023,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000252091735,7.09967236255282,180000.001830646,179999.973780989,1.22249635811118e-11,-29,180000.001830646,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000283139749,7.09967436143145,180000.002217878,179999.968234944,1.86988581619379e-11,-29,180000.002217878,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000320755278,7.09967678312829,180000.002687021,179999.961515757,2.80829263234528e-11,-29,180000.00268702,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.11000036632753,7.09967971708089,180000.003255399,179999.953375277,3.99610124198619e-11,-29,180000.003255399,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000421539575,7.0996832716457,180000.003944006,179999.943512862,5.86957933963209e-11,-29,180000.003944005,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000488430493,7.09968757809918,180000.004778271,179999.931564275,8.27067934214729e-11,-29,180000.00477827,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000569470692,7.09969279548681,180000.005789007,179999.917088233,1.24748518204222e-10,-29,180000.005789005,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000667653134,7.09969911649624,180000.007013539,179999.899550111,1.80200714975345e-10,-29,180000.007013537,NaN,0,NaN,0,NaN,NaN,NaN,NaN
