kappa,delta_kappa,Omega_real,Omega_imag,q_real,q_imag,A0_over_C,Am1_over_C,sigma_ratio,A0_real,A0_imag,Am1_real,Am1_imag
0.110017360536839,1.72552250309614e-05,0.890000958730092,-5.17432810054323e-12,0.00571034102917886,-8.06459184615415e-10,1.2087415939833e-06,9.18141965466086e-06,6.46061409280342e-11,1.16465180722383e-07,1.20311765954316e-06,1.06733715481844e-06,9.11916982367018e-06
0.110023783924436,2.36786126279617e-05,0.890001354785464,1.17606712027734e-12,0.00668927049705461,1.56474660551752e-10,1.65869316836303e-06,1.25985701389228e-05,1.38476474352713e-16,1.59873799566868e-07,1.65097044037325e-06,1.44677901363393e-06,1.25152227319798e-05
0.110032598466489,3.24931546809176e-05,0.890001898266417,2.33007573961409e-12,0.00783601464496242,2.64646242423021e-10,2.27620252343945e-06,1.72875059620745e-05,8.3206011651042e-16,2.19500793509339e-07,2.26559425523656e-06,1.95668828426096e-06,1.71764150318685e-05
0.11004469428827,4.45889764618748e-05,0.890002644016982,4.64234885917022e-12,0.00917933509357048,4.50109154638521e-10,3.12362710964328e-06,2.37210714651857e-05,2.39789389254986e-16,3.01373069496503e-07,3.10905461403956e-06,2.63880041011854e-06,2.35738406682493e-05
0.110061292870894,6.11875590856443e-05,0.890003667293571,9.30332000789605e-12,0.0107529228296706,7.70022165711644e-10,4.28659234742319e-06,3.25479575434342e-05,1.06595971779001e-15,4.1378365628091e-07,4.26657439156776e-06,3.54634589173263e-06,3.23541801173416e-05
0.110084070401029,8.39650892202112e-05,0.890005071332064,1.87566479619785e-11,0.0125962392320284,1.32527744986809e-09,5.88263170442571e-06,4.46576641974141e-05,1.4010928865001e-15,5.68104555418559e-07,5.85513560765481e-06,4.74561878617545e-06,4.44047978703349e-05
0.110115327038465,0.00011522172665672,0.890006997732203,3.80484179881129e-11,0.0147555020392834,2.29496483223046e-09,8.0730941117806e-06,6.12695519102789e-05,3.92618544591048e-15,7.79914232708665e-07,8.03533336752652e-06,6.31661582512609e-06,6.09430747157061e-05
0.110158219194817,0.000158113883008419,0.890009640680143,7.76594727387623e-11,0.0172848383578512,3.99874606847222e-09,1.10795099629387e-05,8.40545222229493e-05,6.92803610197549e-15,1.07052132455917e-06,1.1027670883397e-05,8.3512484061792e-06,8.36386235909378e-05
0.110217078279715,0.000216972967906326,0.890013266413635,1.59477976369538e-10,0.0202476321376238,7.0100796826481e-09,1.52060982500989e-05,0.000115301016108077,2.12211054145092e-14,1.46900697650979e-06,1.51349741491231e-05,1.09465282819815e-05,0.000114780215342744
0.110297848102678,0.000297742790869116,0.890018239835714,3.29448010803302e-10,0.0237180975109166,1.23624898058361e-08,2.08707437715657e-05,0.000158140969152033,5.86972109340606e-14,2.01492890656202e-06,2.07732522027691e-05,1.4188075849997e-05,0.000157503221008394
