mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
independent,1,81,0.522344711452052,0,0,0,0,1,1,0.0046266146373792,0.0456142223339403,0.00272230555973194,0.0363546575062116,0.00704318361007958,0.00966679749428279,0,25.4066716038725,20.5485981024261
independent,1,82,0,0.378863408373506,0,0,0,1,1,0.000881685041409769,0.0161174247636526,0.000638979731981148,0.00878352488351488,0.0026719068458761,0.00133667420649112,0,4.84170047882653,7.26068464983908
independent,1,83,0,0,0.161265351989599,0,0,1,1,0.00972784675853206,0.107725306257461,0.005562062069608,0.0725777641715758,0.0472834194425766,0.00511761047198746,0,53.4196658632502,48.5288120783822
independent,1,84,0,0,0,-0.35309472962062,0,1,1,0.000313130353320149,0.00423440552396778,4.76341740155751e-05,0.000657413116960389,0.00130439015168978,0.000705424606177708,0,1.71952943556936,1.90754314910164
independent,1,85,0,0,0,0,0.395770145071129,1,1,0.000336948993780813,0.00488380939620162,0.000156379100196121,0.0021581900240163,0.00167937763632204,0.000413814463790333,0,1.85032752956786,2.2000909224474
independent,1,86,0.933513040056157,0,0,0,0,1,1,0.0081748184500113,0.0792133263905849,0.0048060139095917,0.0624530064068664,0.0125222266271573,0.0171759410356468,0,44.8913393613361,35.6845458515093
independent,1,87,0,-0.757335921124107,0,0,0,1,1,0.00159927847565709,0.0289147804197423,0.000806918499323784,0.0112196346748866,0.00565914233833684,0.00328076867700854,0,8.78230546929192,13.0257224975879
independent,1,88,0,0,-0.261895626620645,0,0,1,1,0.0150962089407136,0.183216157678734,0.00879353045074374,0.129523239723632,0.0776945452957899,0.00829581678961041,0,82.8995827578622,82.5364326601645
independent,1,89,0,0,0,0.943484022534308,0,1,1,0.000764963942272985,0.0134940470940431,0.000442406094863484,0.00610907254366989,0.00317738549990064,0.00117403735118886,0,4.20073621717124,6.07888803804911
independent,1,90,0,0,0,0,0.0751563886117752,1,1,0.000189893609391201,0.00236854609818294,0.000157261472422196,0.00217021536892236,0.000335828703433796,0.000212728459779802,0,1.04278504946096,1.06699839147354
