kappa,Omega_real,Omega_imag,Q,q_real,q_imag,sigma_ratio,residual,mode_overlap,fixed_order
0.242,0.480551841300413,0.173895884955134,1.38172286660031,0.133521682671888,0.625860804309268,6.70619348319782e-12,1.00919922130084e-11,0.999997219733449,-1
0.24,0.479592100799784,0.173902341202474,1.37891214541326,0.132631193315679,0.628827857657795,6.53059961038163e-12,9.82594766788609e-12,0.999997235103919,-1
0.238,0.478639618672081,0.17391026204563,1.37611091215105,0.13175425679666,0.63178483589452,6.37295561860071e-12,9.586929545982e-12,0.999997249421642,-1
0.236,0.477694332170567,0.173919565082465,1.37331970656684,0.130890541241531,0.634731812592603,6.23209138640246e-12,9.373645561284e-12,0.999997262736485,-1
0.234,0.476756178469312,0.173930173592599,1.37053901753134,0.1300397265204,0.637668865517825,6.10636805468223e-12,9.18302748311848e-12,0.999997275095487,-1
0.232,0.475825094767785,0.173942016264779,1.3677692859541,0.129201503806938,0.640596076164582,5.9941023562919e-12,9.01269841811872e-12,0.999997286543019,-1
0.23,0.474901018382388,0.173955026936279,1.36501090755011,0.128375575150326,0.643513529330153,5.89407318800544e-12,8.86075557498566e-12,0.99999729712095,-1
0.228,0.473983886826269,0.173969144343973,1.36226423545863,0.127561653059504,0.646421312724225,5.80544233946966e-12,8.72608944387471e-12,0.999997306868793,-1
0.226,0.473073637878603,0.173984311886676,1.35952958272105,0.126759460100064,0.649319516610924,5.72639193416276e-12,8.60577629105428e-12,0.99999731582385,-1
0.224,0.472170209644441,0.174000477398355,1.35680722462462,0.125968728504004,0.652208233480762,5.65586800403299e-12,8.49856166089983e-12,0.999997324021339,-1
0.222,0.471273540606109,0.174017592931791,1.35409740091863,0.125189199792433,0.655087557750127,5.59343621645383e-12,8.40335508197917e-12,0.999997331494524,-1
0.22,0.470383569667072,0.174035614552278,1.35140031790957,0.124420624411251,0.657957585486129,5.5379649820962e-12,8.31874984605441e-12,0.999997338274834,-1
0.218,0.469500236189068,0.174054502140952,1.34871615044137,0.123662761379725,0.660818414154753,5.48867458638341e-12,8.24348031717554e-12,0.999997344391969,-1
0.216,0.468623480023244,0.174074219207321,1.34604504376698,0.122915377951822,0.663670142390466,5.44501835733585e-12,8.17646254219252e-12,0.999997349874011,-1
