x_m,y_m,pressure_real_pa,pressure_imag_pa,pressure_abs_pa
0.02226,0.02,0.381766385706802,-0.199034096945573,0.430534719857266
0.0224084,0.02,0.386851053063514,-0.190698229595642,0.431299840050123
0.0225568,0.02,0.391597697277281,-0.182458827055786,0.432018495071035
0.0227052,0.02,0.39606279882564,-0.174276661661914,0.43271017484411
0.0228536,0.02,0.40017590395104,-0.166264645217397,0.433341304692155
0.023002,0.02,0.404026562172045,-0.158411706248728,0.433972040132996
0.0231504,0.02,0.407633156903942,-0.150701998310654,0.434598530718062
0.0232988,0.02,0.410999905886225,-0.143161399785176,0.435219610113029
0.0234472,0.02,0.414183960496459,-0.13581566520719,0.435883296362918
0.0235956,0.02,0.417183230659922,-0.128660288605566,0.43657223664351
0.023744,0.02,0.420038493751737,-0.12167978558693,0.437308022398069
0.0238924,0.02,0.42278382158604,-0.114905299436364,0.438120289000015
0.0240408,0.02,0.425443741399956,-0.108319267605533,0.439016447107613
0.0241892,0.02,0.428072920215424,-0.10186686863382,0.440026458235207
0.0243376,0.02,0.430642134724668,-0.0956308003805647,0.441132517710548
0.024486,0.02,0.433215385920618,-0.0895374067487578,0.442371470379412
0.0246344,0.02,0.43583162550234,-0.0835341682797574,0.443764760946836
0.0247828,0.02,0.438487295880591,-0.0776869635374369,0.445316037160509
0.0249312,0.02,0.441198102470191,-0.071939592228952,0.447024686738177
0.0250796,0.02,0.443997856179176,-0.0662354420615725,0.448911160561638
0.025228,0.02,0.44693939055972,-0.0605607396623835,0.451023748845167
0.0253764,0.02,0.449966534330908,-0.0549568735592601,0.453310202807279
0.0255248,0.02,0.453112401625703,-0.0493358978050884,0.455790389674077
0.0256732,0.02,0.456447415546188,-0.0436203416046215,0.45852696470382
0.0258216,0.02,0.459925632060891,-0.0379052704827605,0.461484990608559
0.02597,0.02,0.463525462671002,-0.0320859383661328,0.464634654309385
0.0261184,0.02,0.467264354420352,-0.0261241155391122,0.467994066548465
0.0262668,0.02,0.47120160043549,-0.0200347019453926,0.471627329079866
0.0264152,0.02,0.475260551757407,-0.0138038848042365,0.475460975572595
0.0265636,0.02,0.479448028751831,-0.00732876915817816,0.479504038701855
0.026712,0.02,0.483788788229854,-0.000607922170315446,0.483789170182917
0.0268604,0.02,0.488246233382642,0.0062980272336912,0.488286851716667
0.0270088,0.02,0.4927764038097,0.0134599295766841,0.492960195001412
0.0271572,0.02,0.497425936159495,0.020928064304618,0.4978659918489
0.0273056,0.02,0.502126370805856,0.0286820419132017,0.502944879471867
0.027454,0.02,0.506845874414876,0.0367424070960358,0.508175899557024
0.0276024,0.02,0.511610843517269,0.045077719227159,0.513592889334708
0.0277508,0.02,0.516338478264294,0.0537175898046413,0.519125229198799
0.0278992,0.02,0.521025048867878,0.0627001672339948,0.524784158029704
0.0280476,0.02,0.525712119077493,0.0720112707456993,0.530621197521696
0.028196,0.02,0.530281395039104,0.0815874640476451,0.536521082730533
0.0283444,0.02,0.534709393199095,0.0914554582931731,0.542474180055566
0.0284928,0.02,0.53903344124732,0.101647686884499,0.548533775652783
0.0286412,0.02,0.543192398608653,0.112099453679788,0.55463886396603
0.0287896,0.02,0.547115683940024,0.122765845968911,0.560720094654742
0.028938,0.02,0.550827274383112,0.133669922043721,0.566814197302346
0.0290864,0.02,0.554329689392746,0.14482470662246,0.572935947720633
0.0292348,0.02,0.557523862428939,0.156121732831039,0.578970511027849
0.0293832,0.02,0.560411275667864,0.167519938574564,0.584913436087519
0.0295316,0.02,0.563026268481883,0.179080397634863,0.590820080750218
