theta_deg,frequency_hz,central_six_probe_rms_pa,coherent_probe_real_pa,coherent_probe_imag_pa,coherent_probe_abs_pa,coherent_probe_phase_rad
6.8,180098,0.555065658918735,-0.140850136906576,-0.00129382499099756,0.140856079207496,-3.13240708493845
6.8,180100,0.554934989875757,-0.140890826334932,-0.00131202403580507,0.140896935212979,-3.13228057738324
6.8,180102,0.554811300169276,-0.140932797746864,-0.00132692346254161,0.140939044294454,-3.13217763965224
6.8,180104,0.554694387795236,-0.140976094351401,-0.00133855218603899,0.140982448909536,-3.13209805119221
6.8,180106,0.554584063304259,-0.141020763659747,-0.00134693198371943,0.141027195990515,-3.13204164144108
6.8,180108,0.55448014923412,-0.141066857160672,-0.00135207740772024,0.141073336610806,-3.13200829030234
6.8,180110,0.554382479530848,-0.14111443001168,-0.00135399568940756,0.141120925669612,-3.13199792865633
6.8,180112,0.554290898956541,-0.141163540748011,-0.00135268665056443,0.141170021596974,-3.13201053880788
6.8,180114,0.554205262502796,-0.141214251015077,-0.00134814259673662,0.141220686084618,-3.13204615504459
6.8,180116,0.554125434792525,-0.141266625310344,-0.0013403482098517,0.141272983828816,-3.13210486418369
6.8,180118,0.554051289481477,-0.141320730739144,-0.00132928042700997,0.141326982289651,-3.13218680620023
6.8,180120,0.553982708657193,-0.141376636781387,-0.00131490830808721,0.141382751463801,-3.1322921749174
6.95,179960,0.604250239542598,-0.144954797448195,0.0102169379810866,0.145314414718418,3.07122541242449
6.95,179962,0.603552559552756,-0.144605447409597,0.0101221510258619,0.144959281737735,3.07170823674955
6.95,179964,0.602833323496998,-0.144258724853415,0.0100170992131479,0.144606092447654,3.07226550654856
6.95,179966,0.602093092400802,-0.143915341086201,0.00990176266564689,0.144255572869281,3.07289822209915
6.95,179968,0.601332586515579,-0.143576021086316,0.0097761835314533,0.143908469505512,3.07360694962621
6.95,179970,0.600552686314674,-0.143241496857658,0.00964046861574689,0.143565542722318,3.07439179016336
6.95,179972,0.599754431096088,-0.142912500290041,0.00949479116352162,0.143227559493241,3.07525235385955
6.95,179974,0.598939015080851,-0.142589755680324,0.00933939170211577,0.142895285654706,3.07618774073318
6.95,179976,0.598107780922349,-0.142273972029529,0.00917457787339212,0.142569477786145,3.07719652873365
6.95,179978,0.597262210650848,-0.141965835295996,0.00900072321117731,0.142250874899293,3.07827676982906
6.95,179980,0.596403914128034,-0.141666000759708,0.00881826484617125,0.141940190101841,3.07942599463532
6.95,179982,0.595534615178207,-0.141375085681389,0.00862770015235596,0.141638102434829,3.08064122586897
6.95,179984,0.594656135623958,-0.141093662416684,0.0084295823817249,0.14134524906513,3.08191900062742
6.95,179986,0.59377037753372,-0.140822252153086,0.00822451536467957,0.141062218026129,3.0832554012354
6.95,179988,0.592879304037697,-0.140561319410926,0.00801314737969002,0.140789541676465,3.08464609413535
6.95,179990,0.591984919121776,-0.140311267436332,0.00779616432483541,0.140527691035503,3.08608637601494
6.95,179992,0.591089246841759,-0.140072434582267,0.00757428234453124,0.140277071122968,3.08757122612692
6.95,179994,0.590194310403368,-0.139845091749727,0.00734824007321535,0.140038017404786,3.08909536360873
6.95,179996,0.589302111571741,-0.139629440921344,0.0071187906761816,0.139810793405583,3.09065330838854
6.95,179998,0.588414610837084,-0.139425614798948,0.00688669386038902,0.139595589523421,3.09223944424403
6.95,180000,0.58753370874307,-0.139233677516811,0.00665270802820715,0.139392523038232,3.09384808251083
6.95,180002,0.58666122873021,-0.13905362636876,0.00641758273884814,0.139201639266614,3.09547352494566
6.95,180004,0.585798901791227,-0.138885394483087,0.00618205161306055,0.139022913805132,3.09711012443412
6.95,180006,0.584948353171192,-0.138728854316154,0.00594682581968781,0.138856255736651,3.09875234218326
6.95,180008,0.584111091275104,-0.138583821876281,0.00571258823213959,0.138701511708225,3.10039480042526
6.95,180010,0.583288498877272,-0.138450061524587,0.00547998833785882,0.138558470720289,3.10203232969493
6.95,180012,0.582481826652367,-0.13832729122154,0.00524963795406452,0.138426869484712,3.10366001000025
6.95,180014,0.581692188992087,-0.138215188087276,0.00502210776201941,0.138306398204762,3.10527320554195
6.95,180016,0.580920562017225,-0.138113394137433,0.00479792467873136,0.138196706622787,3.10686759263517
6.95,180018,0.580167783635094,-0.138021522073583,0.00457757003131602,0.13809741019621,3.10843918092772
6.95,180020,0.579434555466046,-0.137939161007641,0.00436147850385908,0.138008096263341,3.10998432802417
6.95,180022,0.578721446432093,-0.137865882027851,0.00415003780004105,0.137928330088706,3.11149974786972
6.95,180024,0.578028897777778,-0.137801243514096,0.00394358895930338,0.13785766067909,3.11298251332708
6.95,180026,0.577357229292645,-0.137744796142261,0.0037424272488348,0.137795626294835,3.11443005353372
6.95,180028,0.576706646492682,-0.137696087507625,0.00354680356145506,0.137741759573526,3.11584014659528
6.95,180030,0.576077248537912,-0.137654666351478,0.00335692622955736,0.137695592238994,3.11721090834717
6.95,180032,0.575469036661328,-0.137620086342677,0.00317296318473048,0.13765665933887,3.11854077778271
6.95,180034,0.574881922918849,-0.137591909424668,0.0029950443850143,0.137624503014522,3.11982849982037
6.95,180036,0.57431573906531,-0.137569708709174,0.00282326443318951,0.137598675779916,3.12107310606972
6.95,180038,0.573770245409794,-0.137553070939386,0.0026576853277032,0.137578743329617,3.12227389412875
6.95,180040,0.573245139509412,-0.137541598533971,0.00249833928308624,0.137564286885999,3.12343040597226
6.95,180042,0.572740064584163,-0.137534911233574,0.00234523156847492,0.137554905107512,3.12454240589965
6.95,180044,0.572254617572021,-0.137532647383883,0.00219834332146529,0.137550215593355,3.12560985844009
6.95,180046,0.571788356740406,-0.137534464878346,0.00205763429817622,0.137549856009659,3.12663290657452
6.95,180048,0.571340808813827,-0.137540041797852,0.00192304553108543,0.137553484877227,3.12761185054756
6.95,180050,0.57091147557701,-0.137549076781259,0.00179450186864072,0.137560782057726,3.12854712751338
6.95,180052,0.570499839935789,-0.137561289154694,0.00167191438160761,0.13757144896962,3.12943929216948
6.95,180054,0.570105371430156,-0.137576418858374,0.00155518262185554,0.137585208575929,3.13028899851859
6.95,180056,0.569727531201789,-0.137594226194879,0.00144419672425655,0.137601805171102,3.13109698285322
6.95,180058,0.569365776426934,-0.137614491431908,0.00133883935268725,0.137621004003295,3.13186404797568
6.95,180060,0.569019564245158,-0.13763701428628,0.00123898748441376,0.137642590761828,3.13259104870855
6.95,180062,0.568688355191417,-0.137661613309093,0.00114451403663607,0.13766637095254,3.1332788786758
6.95,180064,0.568371616174916,-0.137688125197084,0.00105528934330895,0.137692169188687,3.13392845829923
6.95,180066,0.568068823029228,-0.13771640404881,0.000971182481951956,0.137719828418236,3.13454072401226
