H_over_a,strict_BIC,nonzero_RA_control
9.93333333333333,0.0177019452335371,0.0425352785668705
10,0.0177019452335371,0.0427019452335371
10.0666666666667,0.0177019452335371,0.0428686119002038
10.1333333333333,0.0177019452335371,0.0430352785668705
10.2,0.0177019452335371,0.0432019452335371
10.2666666666667,0.0177019452335371,0.0433686119002038
10.3333333333333,0.0177019452335371,0.0435352785668705
10.4,0.0177019452335371,0.0437019452335371
10.4666666666667,0.0177019452335371,0.0438686119002038
10.5333333333333,0.0177019452335371,0.0440352785668705
10.6,0.0177019452335371,0.0442019452335371
10.6666666666667,0.0177019452335371,0.0443686119002038
10.7333333333333,0.0177019452335371,0.0445352785668705
10.8,0.0177019452335371,0.0447019452335371
10.8666666666667,0.0177019452335371,0.0448686119002038
10.9333333333333,0.0177019452335371,0.0450352785668705
11,0.0177019452335371,0.0452019452335371
11.0666666666667,0.0177019452335371,0.0453686119002038
11.1333333333333,0.0177019452335371,0.0455352785668705
11.2,0.0177019452335371,0.0457019452335371
11.2666666666667,0.0177019452335371,0.0458686119002038
11.3333333333333,0.0177019452335371,0.0460352785668705
11.4,0.0177019452335371,0.0462019452335371
11.4666666666667,0.0177019452335371,0.0463686119002038
11.5333333333333,0.0177019452335371,0.0465352785668705
11.6,0.0177019452335371,0.0467019452335371
11.6666666666667,0.0177019452335371,0.0468686119002038
11.7333333333333,0.0177019452335371,0.0470352785668705
11.8,0.0177019452335371,0.0472019452335371
11.8666666666667,0.0177019452335371,0.0473686119002038
11.9333333333333,0.0177019452335371,0.0475352785668705
12,0.0177019452335371,0.0477019452335371
12.0666666666667,0.0177019452335371,0.0478686119002038
12.1333333333333,0.0177019452335371,0.0480352785668705
12.2,0.0177019452335371,0.0482019452335371
12.2666666666667,0.0177019452335371,0.0483686119002038
12.3333333333333,0.0177019452335371,0.0485352785668705
12.4,0.0177019452335371,0.0487019452335371
12.4666666666667,0.0177019452335371,0.0488686119002038
12.5333333333333,0.0177019452335371,0.0490352785668705
12.6,0.0177019452335371,0.0492019452335371
12.6666666666667,0.0177019452335371,0.0493686119002038
12.7333333333333,0.0177019452335371,0.0495352785668705
12.8,0.0177019452335371,0.0497019452335371
12.8666666666667,0.0177019452335371,0.0498686119002038
12.9333333333333,0.0177019452335371,0.0500352785668705
13,0.0177019452335371,0.0502019452335371
13.0666666666667,0.0177019452335371,0.0503686119002038
