deltaKappa,kappa,Omega,thetaDeg,sigmaRelative,rawResidual
0.000105,0.0839536965529006,0.916046303447099,5.25841519473881,0.000797060446185963,0.0138891362648994
0.00011,0.0839586965529006,0.916041303447099,5.25875803504052,0.00083496699225812,0.0145531266118896
0.000115,0.0839636965529006,0.916036303447099,5.2591008792737,0.000872869119234444,0.015217345070281
0.00012,0.0839686965529006,0.916031303447099,5.25944372743843,0.000910766828337915,0.0158817905056098
0.000125,0.0839736965529006,0.916026303447099,5.25978657953479,0.000948660120793726,0.0165464617793619
0.00013,0.0839786965529006,0.916021303447099,5.26012943556286,0.000986548997823571,0.0172113577491439
0.000135,0.0839836965529006,0.916016303447099,5.26047229552272,0.00102443346065504,0.0178764772686929
0.00014,0.0839886965529006,0.916011303447099,5.26081515941446,0.00106231351051256,0.0185418191878385
0.000145,0.0839936965529006,0.916006303447099,5.26115802723815,0.00110018914861751,0.0192073823522733
0.00015,0.0839986965529006,0.916001303447099,5.26150089899386,0.00113806037619619,0.0198731656040696
0.000155,0.0840036965529006,0.915996303447099,5.26184377468169,0.00117592719447298,0.0205391677812396
0.00016,0.0840086965529006,0.915991303447099,5.26218665430172,0.00121378960467256,0.0212053877179691
0.000165,0.0840136965529006,0.915986303447099,5.26252953785401,0.00125164760801921,0.0218718242444501
0.00017,0.0840186965529006,0.915981303447099,5.26287242533865,0.00128950120573724,0.0225384761870327
0.000175,0.0840236965529006,0.915976303447099,5.26321531675573,0.00132735039905262,0.023205342368268
0.00018,0.0840286965529006,0.915971303447099,5.26355821210532,0.0013651951891876,0.0238724216066211
0.000185,0.0840336965529006,0.915966303447099,5.2639011113875,0.00140303557736676,0.0245397127168229
0.00019,0.0840386965529006,0.915961303447099,5.26424401460235,0.00144087156481832,0.0252072145097664
0.000195,0.0840436965529006,0.915956303447099,5.26458692174996,0.0014787031527656,0.0258749257924195
0.0002,0.0840486965529006,0.915951303447099,5.26492983283039,0.00151653034242885,0.0265428453677959
0.000205,0.0840536965529006,0.915946303447099,5.26527274784374,0.00155435313503885,0.0272109720352434
0.00021,0.0840586965529006,0.915941303447099,5.26561566679008,0.00159217153181598,0.0278793045900736
0.000215,0.0840636965529006,0.915936303447099,5.2659585896695,0.00162998553398798,0.0285478418239138
0.00022,0.0840686965529006,0.915931303447099,5.26630151648207,0.00166779514277745,0.0292165825244105
0.000225,0.0840736965529006,0.915926303447099,5.26664444722787,0.00170560035940997,0.0298855254754912
0.00023,0.0840786965529006,0.915921303447099,5.26698738190698,0.00174340118510933,0.0305546694571113
0.000235,0.0840836965529006,0.915916303447099,5.26733032051949,0.00178119762110087,0.0312240132455747
0.00024,0.0840886965529006,0.915911303447099,5.26767326306546,0.00181898966860955,0.0318935556132354
0.000245,0.0840936965529006,0.915906303447099,5.268016209545,0.0018567773288597,0.0325632953287475
0.00025,0.0840986965529006,0.915901303447099,5.26835915995817,0.00189456060307673,0.033233231156889
0.000255,0.0841036965529006,0.915896303447099,5.26870211430504,0.00193233949248412,0.0339033618585829
0.00026,0.0841086965529006,0.915891303447099,5.26904507258572,0.00197011399830586,0.0345736861910535
0.000265,0.0841136965529006,0.915886303447099,5.26938803480026,0.00200788412176895,0.0352442029077676
0.00027,0.0841186965529006,0.915881303447099,5.26973100094876,0.00204564986409472,0.0359149107582282
0.000275,0.0841236965529006,0.915876303447099,5.2700739710313,0.00208341122651037,0.036585808488376
0.00028,0.0841286965529006,0.915871303447099,5.27041694504795,0.00212116821023928,0.0372568948402946
0.000285,0.0841336965529006,0.915866303447099,5.27075992299879,0.00215892081650429,0.0379281685523055
0.00029,0.0841386965529006,0.915861303447099,5.27110290488391,0.00219666904653398,0.0385996283589923
