kappa,delta,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,A0_over_C,Am1_over_C,flux_0,flux_m1,ky_0_real,ky_0_imag,ky_m1_real,ky_m1_imag,is_m1_open,is_m1_threshold
0.110001289168137,1.18385632866273e-06,0.889999967693241,2.09900392420051e-15,212005312956295,4.10830796470719e-15,1.30738692552629e-13,8.29249767728352e-08,6.299799399579e-07,6.82382581644604e-15,6.66986403628039e-16,5.54915779775059,1.32903342455953e-14,0.00939795581459251,7.84746846746634e-12,1,0
0.110001506827615,1.40151580691479e-06,0.889999981115626,2.96274824154317e-15,150198381461542,2.91328530435108e-15,1.35314147097578e-13,9.81713084548204e-08,7.45804687385016e-07,9.56370917605219e-15,1.01709897654237e-15,5.54915771240077,1.87593339684326e-14,0.0102254602767994,1.01803244013004e-11,1,0
0.110001764505166,1.65919335773693e-06,0.88999999700578,4.19825005875452e-15,105996544339931,1.6720814581846e-15,1.13137179245736e-13,1.16220794214242e-07,8.82924126955977e-07,1.34037051089442e-14,1.55099080341709e-15,5.54915761135828,2.65822038710641e-14,0.0111258276248094,1.32582351544675e-11,1,0
0.110002069558366,1.96424655703202e-06,0.890000015817408,5.93821361221386e-15,74938363112000.2,3.6460896188409e-15,1.7946016955018e-13,1.37588820871136e-07,1.04525325260418e-06,1.87855305723508e-14,2.36512965515803e-15,5.54915749173767,3.75991923777359e-14,0.012105473488632,1.72354960144378e-11,1,0
0.110002430697526,2.32538571759633e-06,0.89000003808763,8.3962442625397e-15,52999889608882.2,8.75465823177363e-15,2.08303025851924e-13,1.62885534335444e-07,1.23742679025215e-06,2.63282613174387e-14,3.60661978896326e-15,5.54915735012294,5.31627926931283e-14,0.0131713783877907,2.23977091190087e-11,1,0
0.110002858234407,2.75292259835833e-06,0.890000064452312,1.1901770276532e-14,37389398542132,1.91299697676515e-14,4.07688320419268e-13,1.92833263064651e-07,1.4649314861735e-06,3.68995458280264e-14,5.49978082219365e-15,5.54915718246985,7.53588585524276e-14,0.0143311374623675,2.91796901883774e-11,1,0
0.110003364376649,3.25906484038515e-06,0.890000095664222,1.68715432832409e-14,26375776084108.7,3.27527212528529e-14,6.58782701805094e-13,2.28287150255382e-07,1.73426274132684e-06,5.17154160464643e-14,8.38667765842832e-15,5.54915698399046,1.06826153115521e-13,0.0155930145880756,3.80167087182202e-11,1,0
0.110003963576345,3.85826453681214e-06,0.890000132614521,2.39505879273569e-14,18579922449376.3,5.43672055188522e-14,1.12665654401978e-12,2.70259567245723e-07,2.05310997519484e-06,7.24801706137136e-14,1.27889232478846e-14,5.54915674901627,1.5164880560982e-13,0.0169660012469494,4.96005499988575e-11,1,0
0.110004672942698,4.56763088956002e-06,0.890000176358199,3.40233972293479e-14,13079237360672.8,8.49423136055142e-14,1.75172321821976e-12,3.19949032607663e-07,2.43057610845218e-06,1.0158243351227e-13,1.95019202242372e-14,5.54915647083622,2.1542719871913e-13,0.0184598805854539,6.47587739385684e-11,1,0
0.110005512730544,5.407418735601e-06,0.890000228144193,4.83765924315627e-14,9198665960229.19,1.30316173574531e-13,2.68105547956812e-12,3.78774434788974e-07,2.87743731272624e-06,1.4236993160452e-13,2.97385655167167e-14,5.5491561415049,3.06307890001668e-13,0.0200852971057742,8.46265952673165e-11,1,0
0.1100065069187,6.40160689187064e-06,0.890000289451042,6.8842036119099e-14,6464075872997.95,1.96258027144059e-13,4.03920495439046e-12,4.48415560540727e-07,3.40645052172164e-06,1.9953461517399e-13,4.53483786391777e-14,5.54915575161536,4.35889770264925e-13,0.0218538324911863,1.10681740912557e-10,1,0
0.110007683894641,7.57858283255199e-06,0.890000362029083,9.81141922672291e-14,4535533246836.66,2.90669758493366e-13,5.99639864098007e-12,5.30861070411744e-07,4.03271739465831e-06,2.79652421146139e-13,6.91516356924878e-14,5.54915529003015,6.21233510555748e-13,0.023778088101902,1.44978906910883e-10,1,0
0.110009077265057,8.97195324861138e-06,0.890000447950503,1.39969210447562e-13,3179272231030.88,7.57500585028494e-14,1.55764086422352e-12,6.28465530091208e-07,4.77411624107987e-06,3.91940071335648e-13,1.05448913118219e-13,5.54915474356335,8.86248756925674e-13,0.0258717748530389,1.90088678546673e-10,1,0
0.110010726815442,1.06215036338347e-05,0.890000549668147,1.99918667051816e-13,2225906571889.74,1.06267145619923e-13,2.19465856204477e-12,7.44015848930183e-07,5.6518079181815e-06,5.49314440127791e-13,1.6079780569575e-13,5.54915409660114,1.26583346795067e-12,0.0281498104010343,2.49532940869655e-10,1,0
0.110012679646105,1.25743342968294e-05,0.890000670085965,2.85920463505272e-13,1556378055587.4,1.49506326773093e-13,3.07965857980981e-12,8.80812013473247e-07,6.69084477144019e-06,7.69879901208308e-13,2.45197696430348e-13,5.54915333065785,1.81037516976204e-12,0.0306284260175369,3.27997573145719e-10,1,0
0.110014991517045,1.48862052360222e-05,0.890000812641597,4.09451840655218e-13,1086819894639.37,2.11094457403101e-13,4.3581761675206e-12,1.04276068475212e-06,7.92088150701651e-06,1.07901052209027e-12,3.73895804058128e-13,5.54915242384479,2.59254506065216e-12,0.0333252817622246,4.31697106415836e-10,1,0
0.110017728440087,1.76231282784371e-05,0.890000981404514,5.87153451977665e-13,757894702319.122,2.98099888245404e-13,6.14970062004945e-12,1.2344869803618e-06,9.37702116904982e-06,1.51226967731636e-12,5.7014110836657e-13,5.54915135024361,3.7177079543352e-12,0.0362595923052239,5.68956317571128e-10,1,0
0.110020968563752,2.08632519432629e-05,0.890001181192098,8.43190407636059e-13,527758127424.193,4.20708651479928e-13,8.68381821814577e-12,1.4614666434391e-06,1.11008153072692e-05,2.11950201690162e-12,8.69383172714801e-13,5.54915007916323,5.33887197061261e-12,0.0394522637020894,7.50937944704002e-10,1,0
0.110024804404658,2.46990928495167e-05,0.890001417706953,1.2879199614335e-12,345518915910.095,3.23517515745803e-16,1.13090089800603e-13,1.73018233298999e-06,1.31414463596555e-05,2.97056823182394e-12,1.32567361900299e-12,5.54914857425885,8.15479328542629e-12,0.0429260421100486,1.05418895637261e-09,1,0
